연도,지사,동물종류,건수
2015,남해선(순천부산),멧돼지,2
2017,중부내륙지선,멧돼지,2
2011,광주대구선,멧토끼,2
2010,호남선의지선,오소리,3
2006,영동선,삵,1
2008,중부내륙선,노루,1
2008,무안광주선,고라니,4
2007,논산천안선,호남선,노루,1
2006,통영대전선,오소리,5
2006,광주대구선,삵,5
2011,경부선,삵,2
2012,제2경인선,너구리,1
2012,경부선,멧토끼,1
2015,청주상주선,멧돼지,3
2014,동해선,멧토끼,1
2017,제2중부선,너구리,2
2008,서해안선,노루,1
2008,평택제천선,멧토끼,2
2005,남해제1지선,고라니,1
2013,평택제천선,족제비,1
2016,익산장수선,멧돼지,1
2009,울산선,삵,1
2006,남해선(순천부산),족제비,1
2007,울산선,삵,1
2013,평택제천선,너구리,2
2016,동해선,멧돼지,3
2016,무안광주선,너구리,1
2015,남해제1지선,족제비,1
2015,호남선의지선,삵,1
2017,남해선(영암순천),고라니,3
2017,호남선의지선,너구리,1
2009,남해선(순천부산),오소리,1
2004,남해제1지선,멧토끼,1
2013,논산천안선,호남선,기타,1
2015,순천완주선,오소리,1
2014,통영대전선,삵,1
2017,대전남부순환선,고라니,2
2006,수도권 제2순환선,오소리,1
2008,남해선(순천부산),삵,1
2007,통영대전선,노루,1
2014,서천공주선,멧돼지,1
2015,제2중부선,멧돼지,1
2017,동해선,기타,1
2007,광주대구선,멧토끼,25
2007,대전남부순환선,너구리,4
2007,남해제2지선,고라니,9
2007,중앙선,족제비,11
2011,동해선,고라니,68
2011,남해선(순천부산),기타,2
2011,영동선,멧돼지,10
2010,경부선,고라니,239
2010,남해선(순천부산),삵,3
2010,서해안선,고라니,170
2010,영동선,고라니,170
2010,남해제1지선,고라니,2
2010,청주상주선,고라니,63
2010,동해선,고라니,110
2011,평택제천선,고라니,45
2010,무안광주선,고라니,7
2010,호남선의지선,고라니,29
2010,익산장수선,고라니,9
2009,광주대구선,고라니,25
2010,동해선,멧토끼,5
2009,서천공주선,멧토끼,10
2006,서해안선,너구리,134
2006,동해선,고라니,29
2008,중앙선,고라니,201
2008,중부내륙선,고라니,92
2008,중앙선,멧토끼,42
2008,영동선,노루,2
2008,고창담양선,족제비,6
2007,광주대구선,족제비,2
2007,논산천안선,호남선,삵,1
2005,통영대전선,너구리,67
2005,논산천안선,호남선,고라니,205
2004,서해안선,너구리,111
2005,남해선(순천부산),고라니,31
2004,경부선,고라니,59
2005,논산천안선,호남선,족제비,13
2006,중부내륙선,족제비,2
2006,남해선(순천부산),너구리,26
2006,대구포항선,너구리,7
2004,동해선,족제비,1
2005,광주대구선,오소리,7
2005,중앙선,오소리,8
2004,중부내륙지선,너구리,7
2012,통영대전선,고라니,358
2012,청주상주선,고라니,56
2013,부산포항선,기타,2
2013,영동선,고라니,149
2012,서천공주선,고라니,31
2012,평택제천선,고라니,19
2011,경부선,너구리,5
2013,중앙선,너구리,10
2013,서울외곽순환선(판교퇴계원),기타,18
2013,중앙선,오소리,7
2012,통영대전선,멧돼지,4
2013,영동선,멧돼지,2
2012,중앙선,기타,8
2008,경부선,삵,3
2010,중부내륙선,너구리,12
2014,통영대전선,고라니,285
2015,남해선(순천부산),고라니,27
2014,영동선,고라니,157
2015,논산천안선,호남선,고라니,74
2014,남해제1지선,기타,2
2014,통영대전선,너구리,18
2014,서울외곽순환선(판교퇴계원),고라니,7
2014,순천완주선,너구리,4
2016,중부내륙선,고라니,49
2017,당진대전선,고라니,136
2016,당진대전선,고라니,231
2016,부산포항선,고라니,3
2015,제2중부선,너구리,1
2016,청주상주선,고라니,49
2017,통영대전선,너구리,5
2017,논산천안선,호남선,고라니,8
2015,서해안선,너구리,7
2015,평택제천선,고라니,31
2016,중앙선,멧돼지,20
2011,중부내륙선,멧돼지,8
2006,호남선의지선,멧토끼,4
2008,중앙선,삵,4
2008,남해선(순천부산),오소리,1
2008,중앙선,족제비,9
2005,중앙선,노루,4
2005,중부내륙지선,너구리,4
2004,논산천안선,호남선,노루,18
2006,동해선,너구리,13
2011,순천완주선,삵,6
2012,울산선,기타,1
2013,영동선,너구리,10
2012,순천완주선,너구리,9
2012,순천완주선,오소리,1
2013,청주상주선,삵,1
2014,서해안선,너구리,13
2015,광주대구선,족제비,1
2014,,족제비,1
2014,익산장수선,고라니,7
2015,중앙선,족제비,1
2014,남해제1지선,멧돼지,1
2017,중앙선,멧돼지,16
2015,제2경인선,너구리,2
2015,제2경인선,고라니,1
2017,동해선,너구리,2
2007,대구포항선,너구리,3
2011,중앙선,오소리,4
2011,무안광주선,고라니,5
2011,동해선,멧돼지,1
2005,대전남부순환선,오소리,1
2011,경부선,족제비,2
2015,논산천안선,호남선,너구리,5
2016,순천완주선,족제비,2
2009,남해선(순천부산),족제비,1
2010,제2중부선,족제비,2
2011,대구포항선,삵,2
2015,고창담양선,고라니,4
2014,경부선,너구리,3
2016,대구포항선,고라니,7
2017,제2중부선,오소리,1
2007,호남선의지선,족제비,1
2010,경부선,사슴,1
2006,영동선,노루,1
2007,중부내륙선,삵,1
2013,청주상주선,너구리,1
2012,대구포항선,너구리,1
2012,광주대구선,기타,1
2013,당진대전선,오소리,1
2013,서울외곽순환선,기타,1
2014,서해안선,오소리,1
2016,경부선,너구리,2
2015,논산천안선,호남선,멧돼지,2
2017,청주상주선,기타,2
2016,제2경인선,너구리,1
2011,서울양양,너구리,1
2017,중부내륙선,너구리,1
2006,남해제1지선,너구리,1
2008,대구포항선,족제비,1
2013,제2중부선,멧토끼,1
2014,중부내륙선,멧돼지,1
2014,중앙선의 지선,고라니,1
2017,호남선의지선,오소리,1
2010,울산선,족제비,1
2008,울산선,너구리,1
2006,경부선,삵,2
2005,남해제1지선,멧토끼,1
2012,서울외곽순환선,오소리,1
2017,당진대전선,기타,1
2007,중앙선,멧토끼,90
2007,남해선(순천부산),고라니,54
2007,광주대구선,고라니,105
2007,논산천안선,호남선,오소리,2
2007,경부선,너구리,37
2011,서천공주선,고라니,26
2011,통영대전선,고라니,356
2011,청주상주선,고라니,61
2011,대구포항선,고라니,37
2011,영동선,오소리,2
2011,광주대구선,너구리,13
2010,통영대전선,고라니,257
2010,논산천안선,호남선,고라니,46
2010,통영대전선,너구리,25
2010,제2중부선,고라니,43
2010,영동선,노루,5
2010,당진대전선,너구리,16
2010,논산천안선,호남선,너구리,21
2010,중부내륙지선,고라니,9
2010,경부선,너구리,6
2009,제2중부선,고라니,37
2009,당진대전선,너구리,24
2009,광주대구선,너구리,18
2009,익산장수선,오소리,2
2009,익산장수선,고라니,31
2009,제2중부선,멧토끼,3
2009,중앙선,족제비,2
2006,중부내륙선,고라니,115
2006,중앙선,너구리,107
2006,호남선의지선,너구리,22
2008,동해선,고라니,39
2008,호남선의지선,너구리,21
2008,동해선,너구리,6
2008,경부선,너구리,26
2008,광주대구선,고라니,31
2004,중앙선,고라니,367
2004,광주대구선,족제비,11
2005,대전남부순환선,고라니,12
2004,통영대전선,노루,10
2004,광주대구선,고라니,39
